author_id,author_name
9677, D. Chiel
89116, J. D. Landis
44388, Mimma Balia
41797,'N Sync
86262,142 moms from all over the world
37469,1977 Inaugural Committee (U.S.)
55046,1st Graders of Samuel s Nixon School Carnegie Penn
74570,21st Century Publishing
60751,73 Magazine Editors
41386,";Katie Stewart"""
25905,A & C Black Ltd.
53436,A & E Television Network
24191,A A Milne
41582,A Adams
36461,A Alvarez
42803,A B Guthrie
26257,A B Simpson
46058,A Blue Mountain Arts Collection
55458,A Bodenburg Sommer
62777,A Dumas
51368,A E Hartink
34569,A E Van Vogt
70509,A Finlayson
6352,A First Book
72574,A Frank
71424,A Franquin
54539,A G Eyre
80275,A Ganeri
97725,A H Kramer-Lampher
68634,A Hunter
97578,A Kollontai
23131,A Lobo Antunes
13470,A Martin
83792,A McKeane
70346,A Monk of the Eastern Church
59722,A MunnÃ©-JordÃ 
44365,A N Jeffares
70049,A Norman Jeffares
69286,A Paton
77921,A Perry
90271,A R Lacey
14657,A Rich
25700,A Ripellino
84586,A S Byatt
31362,A STERLING
44280,A Schwarz-Bart
22046,A Soljenitsyne
75306,A T & T
915,A'Lelia Bundles
74784,A. A Milne
53433,A. A.  Winnie the Pooh Milne
37206,A. A.  Winnie-The-Pooh Milne
3319,A. A. Attanasio
81495,A. A. Carr
44405,A. A. Gill
91051,A. A. Hoehing
50051,A. A. Hoehling
1765,A. A. Milne
48860,A. A. Sveshnikov
26495,A. A. Winnie the Pooh Milne
28893,A. Alice
101124,A. Alli
50949,A. Alvarez
74557,A. Anatoli
56154,A. Anderson-Evangelista
93559,A. Avalon
6460,A. B. C. Whipple
63139,A. B. Guthrie
96880,A. B. Simpson
35643,A. B. Yehoshua
22642,"A. B., Jr. Guthrie"
81508,A. Balfour
94804,A. Barrie
73360,A. Bartlett Giamatti
26743,A. Bates
77818,A. Bertrand
65899,A. Breton
72976,A. Brill
26984,A. Bronte
35699,A. Bruce Carlson
18674,A. Bry
97790,A. Buero Vallejo
13114,A. C Grayling
65883,A. C. (Alan C.) Weisbecker
95851,A. C. (Ann C.) Crispin
55643,A. C. Baantjer
1755,A. C. Bhaktivedanta Swami Prabhupada
