cid,category
7,9
5610,"[""ABC's""]"
4266,"[""Aesop's fables""]"
2485,"[""Almanacs, Children's""]"
2549,"[""Alzheimer's disease""]"
1567,"[""Américains d'origine européenne - Généalogies - Guides, manuels, etc""]"
262,"[""April Fools' Day""]"
1912,"[""Arthur Miller's The Crucible""]"
1557,"[""Artists' books""]"
3480,"[""Artists' contracts""]"
1365,"[""Artists' models""]"
5888,"[""Artists' representatives""]"
751,"[""Artists' spouses""]"
3622,"[""Artists' studios""]"
4639,"[""At a desolate monastery off the coast of Wales, the pilgrims vanish one by one ... This mesmerizing tale is woven around two characters: Vane, an emissary sent by the bishop to investigate the disappearance of a number of pilgrims on their way to the island's miraculous well""]"
3375,"[""Author's spouses""]"
777,"[""Authors' spouses""]"
3906,"[""Bisexuals' writings""]"
3562,"[""Blake's 7 (Television program)""]"
5284,"[""Blue's clues (Television program)""]"
522,"[""Bram Stoker's Dracula (Motion picture)""]"
4954,"[""Buffalo Bill's Wild West Show""]"
192,"[""Bug's life (Motion picture)""]"
4091,"[""Canadiens d'origine roumaine - Saskatchewan - Dysert - Biographies""]"
3233,"[""Chefs d'orchestre - États-Unis - Biographies""]"
5390,"[""Children's accidents""]"
2353,"[""Children's art""]"
5517,"[""Children's atlases""]"
774,"[""Children's audiobooks""]"
5409,"[""Children's books""]"
975,"[""Children's clothing.""]"
700,"[""Children's costumes""]"
5272,"[""Children's detective and mystery stories""]"
4738,"[""Children's dreams""]"
3114,"[""Children's encyclopedias and dictionaries""]"
4951,"[""Children's fantasy fiction""]"
5796,"[""Children's fiction""]"
5662,"[""Children's films""]"
621,"[""Children's literature""]"
2561,"[""Children's literature, American""]"
1807,"[""Children's literature, Canadian.""]"
1599,"[""Children's literature, English""]"
3335,"[""Children's literature, German""]"
711,"[""Children's literature, Swedish""]"
417,"[""Children's literature.""]"
3247,"[""Children's online information services""]"
3942,"[""Children's paraphernalia""]"
4957,"[""Children's parties""]"
4684,"[""Children's plays""]"
5131,"[""Children's plays, American""]"
2559,"[""Children's plays, English""]"
342,"[""Children's poetry""]"
737,"[""Children's poetry, American""]"
1863,"[""Children's poetry, American.""]"
904,"[""Children's poetry, English""]"
5027,"[""Children's poetry, English.""]"
1671,"[""Children's poetry, German""]"
4020,"[""Children's poetry, Nicaraguan""]"
1953,"[""Children's poetry.""]"
2300,"[""Children's questions and answers""]"
2085,"[""Children's rooms""]"
1769,"[""Children's secrets""]"
4105,"[""Children's sermons""]"
3431,"[""Children's short stories in English, 1837-1900 - Texts""]"
6015,"[""Children's songs and games""]"
2296,"[""Children's songs""]"
4620,"[""Children's songs, English""]"
5552,"[""Children's songs.""]"
3817,"[""Children's stories in English, 1837-1900 - Texts""]"
3318,"[""Children's stories in English, 1945- - Texts""]"
54,"[""Children's stories""]"
324,"[""Children's stories, American""]"
434,"[""Children's stories, American.""]"
1533,"[""Children's stories, Australian""]"
